ch1.canDo.0.ja	イベントなどに関する記事を読んで、その特色や様子が理解できる。
ch10.parts.0.points.1.examples.0.ja	聞こえてくるのは{草原|そうげん}を渡る風の音のみだった。
ch10.parts.0.points.1.examples.1.ja	{本番|ほんばん}まで、あと1週間。皆さん、今は何も考えずに、ただ練習に{励|はげ}むのみです。
ch10.parts.0.points.1.examples.2.ja	A：コーチ、強ければそれでいいんじゃないですか。
B：強さのみが{王者|おうじゃ}の条件ではない。お前はまだ何もわかっていない。
ch10.parts.0.points.1.examples.3.ja	やるべきことはすべてやったんでしょう。あとはただ結果を待つのみだね。
ch10.parts.0.points.1.forms.0	（ただ） + ［[V-る]　[N]］ + のみ
ch10.parts.0.points.1.marks.0	formal
ch10.parts.0.points.1.no	112
ch10.parts.0.points.1.pattern	（ただ）〜のみ
ch10.parts.0.points.1.phrase	**ただ**自分の心を表現すること**のみ**
ch10.parts.0.points.1.practice.0.items.0.answer	1
ch10.parts.0.points.1.practice.0.items.0.options.0	その1人
ch10.parts.0.points.1.practice.0.items.0.options.1	他の人々
ch10.parts.0.points.1.practice.0.items.0.q	制限時間内にゴールインしたのはただ1人のみで、（　）は間に合わなかった。
ch10.parts.0.points.1.practice.0.items.1.answer	0
ch10.parts.0.points.1.practice.0.items.1.options.0	完了して
ch10.parts.0.points.1.practice.0.items.1.options.1	始まって
ch10.parts.0.points.1.practice.0.items.1.q	パーティーの準備が（　）、あとはただ首相の到着を待つのみだ。
ch10.parts.0.points.1.practice.0.items.2.answer	1
ch10.parts.0.points.1.practice.0.items.2.options.0	知らない
ch10.parts.0.points.1.practice.0.items.2.options.1	知っている
ch10.parts.0.points.1.practice.0.items.2.q	{孤独|こどく}な彼の心を（　）のは、{愛犬|あいけん}のシロのみだった。
ch10.parts.0.points.1.practice.0.items.3.answer	1
ch10.parts.0.points.1.practice.0.items.3.options.0	始まって1{カ|か}月
ch10.parts.0.points.1.practice.0.items.3.options.1	1{カ|か}月を残す
ch10.parts.0.points.1.practice.0.items.3.q	留学生活も、いよいよ（　）のみとなりました。
ch10.parts.0.points.1.practice.0.prompt.ja	
ch10.parts.0.points.1.practice.0.type	choice
ch10.parts.0.points.1.stars	2
ch10.parts.0.points.1.usage.ja	「（ただ）〜のみ」は「本当に〜だけだ」と強く言いたいときに使われる。
ch10.parts.0.points.2.examples.0.ja	親は愛するがゆえに、子どもに{厳|きび}しくすることもある。
ch10.parts.0.points.2.examples.1.ja	{市場|しじょう}調査が不十分であったがゆえに、大きな{損失|そんしつ}を出してしまった。
ch10.parts.0.points.2.examples.2.ja	若さゆえの{過|あやま}ちを、人はなかなか認めたがらないものだ。
ch10.parts.0.points.2.examples.3.ja	彼は国民の信頼を裏切った。それゆえに、{権力|けんりょく}の{座|ざ}を追われることとなったのである。
ch10.parts.0.points.2.examples.4.ja	日本カワウソは毛皮が美しいがゆえに{乱獲|らんかく}され、{絶滅|ぜつめつ}してしまった。
ch10.parts.0.points.2.examples.5.ja	a＝b、b＝c。ゆえにa＝cである。
ch10.parts.0.points.2.formNotes.0.ja	＊「[なA] な／[N]（の） + ゆえ」の形も使われる。
ch10.parts.0.points.2.formNotes.1.ja	＊「だから」という意味で、{接続詞|せつぞくし}としても使われる。
ch10.parts.0.points.2.forms.0	[Pl] + がゆえ
ch10.parts.0.points.2.forms.1	［[なA~~だ~~]である　[N~~だ~~]である］
ch10.parts.0.points.2.marks.0	formal
ch10.parts.0.points.2.no	113
ch10.parts.0.points.2.pattern	〜がゆえ
ch10.parts.0.points.2.phrase	読めない**がゆえ**に
ch10.parts.0.points.2.stars	1
ch10.parts.0.points.2.usage.ja	「〜がゆえ」は「〜ため／〜から」と同じように原因や理由を表す。
ch10.parts.0.points.3.examples.0.ja	主役の演技が{巧|たく}みなストーリー展開と{相|あい}まって人気を呼び、このドラマは{視聴率|しちょうりつ}トップを{獲得|かくとく}した。
ch10.parts.0.points.3.examples.1.ja	この絵は、リアルな{描写|びょうしゃ}に{幻想的|げんそうてき}な世界観が{相|あい}まって、忘れがたい印象を与える。
ch10.parts.0.points.3.examples.2.ja	{厳選|げんせん}された原料と{富士山|ふじさん}が{育|はぐく}んだ水、冷たく{澄|す}んだ空気とが{相|あい}まってこそ、{我|わ}が{社|しゃ}が{誇|ほこ}るウイスキーができるのです。
ch10.parts.0.points.3.examples.3.ja	今回の全員合格という{快挙|かいきょ}は、学生たちの努力と教師の{熱意|ねつい}が{相|あい}まって、はじめて{成|な}し{遂|と}げられたものです。
ch10.parts.0.points.3.forms.0	[N] + と{相|あい}まって
ch10.parts.0.points.3.forms.1	[N] + が{相|あい}まって
ch10.parts.0.points.3.marks.0	formal
ch10.parts.0.points.3.no	114
ch10.parts.0.points.3.pattern	〜と／が{相|あい}まって
ch10.parts.0.points.3.phrase	筆の線が{余白|よはく}**と{相|あい}まって**
ch10.parts.0.points.3.stars	1
ch10.parts.0.points.3.usage.ja	「〜と／が{相|あい}まって」は「このスープは{酸味|さんみ}と{辛|から}みが{相|あい}まって、{絶妙|ぜつみょう}な味わいだ」のように「複数の{要素|ようそ}が一緒になって、程度が高くなる」と言いたいときに使う。
ch10.parts.0.points.4.examples.0.ja	突然の停電でエレベーターに閉じ込められた人の不安と恐怖は想像にかたくない。
ch10.parts.0.points.4.examples.1.ja	新しいタイプの芸術に対して、評価が分かれるのは{推測|すいそく}にかたくない。
ch10.parts.0.points.4.examples.2.ja	{副作用|ふくさよう}の可能性を考えれば、{新薬|しんやく}の使用に{慎重|しんちょう}にならざるを得ないのは想像にかたくない。
ch10.parts.0.points.4.examples.3.ja	リーダーたるもの、苦しい{決断|けつだん}を{迫|せま}られるであろうことは予想にかたくない。
ch10.parts.0.points.4.examples.4.ja	これらのコレクションを見れば、{大原氏|おおはらし}が{美術品|びじゅつひん}に{造詣|ぞうけい}が深かったことは{察|さっ}するにかたくない。
ch10.parts.0.points.4.formNotes.0.ja	＊「想像・予想・{推測|すいそく}・{察|さっ}する」などの言葉と一緒に使われる。
ch10.parts.0.points.4.forms.0	［[N]　[V-る]］ + にかたくない
ch10.parts.0.points.4.marks.0	formal
ch10.parts.0.points.4.no	115
ch10.parts.0.points.4.pattern	〜にかたくない
ch10.parts.0.points.4.phrase	想像**にかたくない**
ch10.parts.0.points.4.stars	1
ch10.parts.0.points.4.usage.ja	「〜にかたくない」は「すぐに〜できる／十分〜できる」という意味を表す。
ch10.parts.0.points.5.examples.0.ja	{真|ま}っ{先|さき}に{救命|きゅうめい}ボートに乗るとは船長としてあるまじき{行為|こうい}だ。
ch10.parts.0.points.5.examples.1.ja	{初日|しょにち}から遅刻するとは{新入|しんにゅう}社員にあるまじき{態度|たいど}だ。
ch10.parts.0.points.5.examples.2.ja	「{想定外|そうていがい}のことで対応できなかった」など、責任者にあるまじき{発言|はつげん}ではないだろうか。
ch10.parts.0.points.5.examples.3.ja	お年寄りからお金をだまし取るなんて、人として許すまじきことだ。
ch10.parts.0.points.5.formNotes.0.ja	＊「許すまじき」と言うこともある。
ch10.parts.0.points.5.forms.0	[N₁] + ［としてあるまじき　にあるまじき］ + [N₂]
ch10.parts.0.points.5.marks.0	formal
ch10.parts.0.points.5.no	116
ch10.parts.0.points.5.pattern	〜としてあるまじき／〜にあるまじき
ch10.parts.0.points.5.phrase	書**としてあるまじき**もの
ch10.parts.0.points.5.stars	1
ch10.parts.0.points.5.usage.ja	「〜として／にあるまじき」は「{賄賂|わいろ}は政治家にあるまじき{行為|こうい}だ」のように「〜という立場（政治家）では、絶対に許されない」という強い気持ちを表す。
ch10.parts.0.points.6.examples.0.ja	会社の金を{横領|おうりょう}したのだから、彼は首にならずにはすまないはずだ。
ch10.parts.0.points.6.examples.1.ja	このまま森林{伐採|ばっさい}を続けていたら、自然{災害|さいがい}を引き起こさずにはすまないだろう。
ch10.parts.0.points.6.examples.2.ja	{欠陥品|けっかんひん}を売ったのだから消費者に非難されないではすまないでしょう。
ch10.parts.0.points.6.examples.3.ja	{高齢者福祉|こうれいしゃふくし}の問題は私たち国民にとって知らないではすまない重要な問題です。
ch10.parts.0.points.6.examples.4.ja	事故を起こしてしまった以上、{公|おおやけ}の{場|ば}で{謝罪|しゃざい}せずにはすまない。
ch10.parts.0.points.6.formNotes.0.ja	＊「する」は「せずにはすまない」になる。
ch10.parts.0.points.6.forms.0	[V-~~ない~~] + ずにはすまない
ch10.parts.0.points.6.forms.1	[V-~~ない~~] + ないではすまない
ch10.parts.0.points.6.marks.0	formal
ch10.parts.0.points.6.no	117
ch10.parts.0.points.6.pattern	〜ずにはすまない
ch10.parts.0.points.6.phrase	批判され**ずにはすまなかった**
ch10.parts.0.points.6.stars	1
ch10.parts.0.points.6.usage.ja	「〜ずにはすまない」は「現状や常識から考えて、〜という望ましくない{事態|じたい}になる」という予想や、「〜しなければならない{事態|じたい}だ」ということを表す。
ch10.parts.0.points.7.examples.0.ja	親猫が、子猫のために大きな犬と戦った。これが愛情でなくてなんだろう。
ch10.parts.0.points.7.examples.1.ja	10階から{転落|てんらく}した幼児が無事だったとは、これが{奇跡|きせき}でなくてなんだろう。
ch10.parts.0.points.7.examples.2.ja	{戦火|せんか}の中で出会った{異国|いこく}の女性と数年後にめぐり会うとは、これが{運命|うんめい}でなくてなんであろう。
ch10.parts.0.points.7.examples.3.ja	たとえ{弾圧|だんあつ}されようとも、{真実|しんじつ}を{報道|ほうどう}する。それがジャーナリストの{正義|せいぎ}でなくてなんであろうか。
ch10.parts.0.points.7.formNotes.0.ja	＊「〜でなくてなんだろうか」「〜でなくてなんであろうか」の形もある。
ch10.parts.0.points.7.forms.0	[N] + でなくてなんだろう
ch10.parts.0.points.7.forms.1	[N] + でなくてなんであろう
ch10.parts.0.points.7.marks.0	formal
ch10.parts.0.points.7.no	118
ch10.parts.0.points.7.pattern	〜でなくてなんだろう
ch10.parts.0.points.7.phrase	この文字が「{品|ひん}」**でなくてなんだろう**
ch10.parts.0.points.7.stars	1
ch10.parts.0.points.7.usage.ja	「〜でなくてなんだろう」は「本当に〜である」と強く言いたい気持ちを表す。
ch10.parts.0.points.8.examples.0.ja	{離島|りとう}の生活は不便{極|きわ}まりないと思っていたが、慣れれば気にならないものだ。
ch10.parts.0.points.8.examples.1.ja	店員の{不誠実|ふせいじつ}{極|きわ}まりない{態度|たいど}に{納得|なっとく}がいかず、本社のサービスセンターにクレームのメールを送った。
ch10.parts.0.points.8.examples.2.ja	アルバイトとはいえ、面接中にメールを確認するとは非常識{極|きわ}まる。
ch10.parts.0.points.8.examples.3.ja	「人間とは何か」などという{難解|なんかい}{極|きわ}まる問いかけに、一体何と答えればいいのだろう。
ch10.parts.0.points.8.forms.0	[なA~~な~~] + {極|きわ}まりない
ch10.parts.0.points.8.forms.1	[なA~~な~~] + {極|きわ}まる
ch10.parts.0.points.8.marks.0	regret
ch10.parts.0.points.8.marks.1	formal
ch10.parts.0.points.8.no	119
ch10.parts.0.points.8.pattern	〜{極|きわ}まりない
ch10.parts.0.points.8.phrase	失礼**{極|きわ}まりない**
ch10.parts.0.points.8.plus.0.examples.0.ja	{京都|きょうと}の{金閣寺|きんかくじ}は美の{極|きわ}みを{尽|つ}くした{建造物|けんぞうぶつ}と言われている。
ch10.parts.0.points.8.plus.0.examples.1.ja	力{及|およ}ばず、今回の{選挙戦|せんきょせん}でこのような結果になりましたことは、{誠|まこと}に{痛恨|つうこん}の{極|きわ}みでございます。
ch10.parts.0.points.8.plus.0.examples.2.ja	毎日、取れたての{新鮮|しんせん}な野菜や魚で作った料理が食べられるなんて{贅沢|ぜいたく}の{極|きわ}みだ。
ch10.parts.0.points.8.plus.0.formNotes.0.ja	＊「{感激|かんげき}・{贅沢|ぜいたく}・美・{痛恨|つうこん}」などの言葉と一緒に使われる。
ch10.parts.0.points.8.plus.0.forms.0	[N] + の + {極|きわ}み
ch10.parts.0.points.8.plus.0.pattern	〜の{極|きわ}み
ch10.parts.0.points.8.plus.0.stars	1
ch10.parts.0.points.8.plus.0.usage.ja	「〜の{極|きわ}み」は「非常に／最高に〜」という意味を表す。
ch10.parts.0.points.8.practice.0.bank.0	危険
ch10.parts.0.points.8.practice.0.bank.1	{不本意|ふほんい}
ch10.parts.0.points.8.practice.0.bank.2	単純
ch10.parts.0.points.8.practice.0.bank.3	{不可解|ふかかい}
ch10.parts.0.points.8.practice.0.items.0.answer	{不本意|ふほんい}
ch10.parts.0.points.8.practice.0.items.0.q	決勝戦は＿＿{極|きわ}まる結果に終わった。
ch10.parts.0.points.8.practice.0.items.1.answer	危険
ch10.parts.0.points.8.practice.0.items.1.q	十分な{装備|そうび}もせずに{冬山|ふゆやま}に登るなんて＿＿{極|きわ}まりない。
ch10.parts.0.points.8.practice.0.items.2.answer	{不可解|ふかかい}
ch10.parts.0.points.8.practice.0.items.2.q	犯人は{自首|じしゅ}したが、どこにも死体がない。＿＿{極|きわ}まりない事件だ。
ch10.parts.0.points.8.practice.0.items.3.answer	単純
ch10.parts.0.points.8.practice.0.items.3.q	値段を上げれば{儲|もう}かると思うのは＿＿{極|きわ}まりない発想だ。
ch10.parts.0.points.8.practice.0.prompt.ja	
ch10.parts.0.points.8.practice.0.type	fill
ch10.parts.0.points.8.stars	2
ch10.parts.0.points.8.usage.ja	「〜{極|きわ}まりない」は「危険{極|きわ}まりない」「残念{極|きわ}まりない」のように「非常に〜だ」と言いたいときに使われる。「〜{極|きわ}まる」も同じように使う。
ch10.parts.0.points.9.examples.0.ja	{災害|さいがい}で{故郷|こきょう}を失った人々の{姿|すがた}に涙を禁じえなかった。
ch10.parts.0.points.9.examples.1.ja	子どもの{落書|らくが}きとしか思えないこの絵が1億円もするとは、{驚|おどろ}きを禁じえない。
ch10.parts.0.points.9.examples.2.ja	信頼して1{票|ぴょう}を{投|とう}じた政治家の{実行力|じっこうりょく}のなさに失望と{憤|いきどお}りを禁じえない。
ch10.parts.0.points.9.examples.3.ja	{長年|ながねん}ご指導いただきました教授のご{退官|たいかん}にあたり、{一同|いちどう}、{惜別|せきべつ}の{念|ねん}を禁じえません。
ch10.parts.0.points.9.formNotes.0.ja	＊「{怒|いか}り・悲しみ・{同情|どうじょう}・とまどい」など感情を表す名詞と一緒に使われる。
ch10.parts.0.points.9.forms.0	[N] + を禁じえない
ch10.parts.0.points.9.marks.0	formal
ch10.parts.0.points.9.no	120
ch10.parts.0.points.9.pattern	〜を禁じえない
ch10.parts.0.points.9.phrase	疑問**を禁じえない**
ch10.parts.0.points.9.stars	1
ch10.parts.0.points.9.usage.ja	「〜を禁じえない」は「自分の感情（〜）を{抑|おさ}えられないくらいに強く感じる」ことを表す。
ch10.parts.0.points.10.examples.0.ja	ホームドクターに、信頼にたる{眼科|がんか}の専門医を紹介してもらった。
ch10.parts.0.points.10.examples.1.ja	今回の{応募作|おうぼさく}には読むにたる作品がなかったというのが私の印象です。
ch10.parts.0.points.10.examples.2.ja	彼は優れた教育者とは言いがたいが、専門の研究にかけては尊敬にたる人物だ。
ch10.parts.0.points.10.examples.3.ja	ここは温泉も料理もすばらしく、部屋も落ち着いた{雰囲気|ふんいき}で、{推薦|すいせん}するにたる旅館だ。
ch10.parts.0.points.10.examples.4.ja	2,000人の中から選ばれた君たちは、{我|わ}が{社|しゃ}の将来を{担|にな}うにたる{素晴|すば}らしい{人材|じんざい}だと信じている。
ch10.parts.0.points.10.forms.0	［[V-る]　[N₁]］ + にたる + [N₂]
ch10.parts.0.points.10.marks.0	formal
ch10.parts.0.points.10.no	121
ch10.parts.0.points.10.pattern	〜にたる
ch10.parts.0.points.10.phrase	芸術と呼ぶ**にたる**作品
ch10.parts.0.points.10.practice.0.bank.0	{任|まか}せる
ch10.parts.0.points.10.practice.0.bank.1	{証明|しょうめい}する
ch10.parts.0.points.10.practice.0.bank.2	呼ぶ
ch10.parts.0.points.10.practice.0.bank.3	発表する
ch10.parts.0.points.10.practice.0.items.0.answer	{証明|しょうめい}する
ch10.parts.0.points.10.practice.0.items.0.q	彼の{有罪|ゆうざい}を＿＿にたる{物的証拠|ぶってきしょうこ}は発見されなかった。
ch10.parts.0.points.10.practice.0.items.1.answer	呼ぶ
ch10.parts.0.points.10.practice.0.items.1.q	{虎|とら}こそ{百獣|ひゃくじゅう}の王と＿＿にたる動物だと私は思う。
ch10.parts.0.points.10.practice.0.items.2.answer	発表する
ch10.parts.0.points.10.practice.0.items.2.q	今回の実験では、学会で＿＿にたる{成果|せいか}が出なかった。
ch10.parts.0.points.10.practice.0.items.3.answer	{任|まか}せる
ch10.parts.0.points.10.practice.0.items.3.q	彼はこのプロジェクトを＿＿にたる能力の持ち{主|ぬし}として、{推薦|すいせん}します。
ch10.parts.0.points.10.practice.0.prompt.ja	
ch10.parts.0.points.10.practice.0.type	fill
ch10.parts.0.points.10.stars	2
ch10.parts.0.points.10.usage.ja	「〜にたる」は「〜する条件や価値を十分{満|み}たしている」と言いたいときに使われる。
ch10.parts.0.points.11.examples.0.ja	アジアが世界経済の{鍵|かぎ}であることは、疑うべくもない。
ch10.parts.0.points.11.examples.1.ja	これ以上の{待遇|たいぐう}は望むべくもないのに、なぜ{転職|てんしょく}など考えるのだろう。
ch10.parts.0.points.11.examples.2.ja	当時母がどんな気持ちだったのか、子どもの私には知るべくもないことだった。
ch10.parts.0.points.11.formNotes.0.ja	＊「疑う・比べる・望む・知る」などの言葉と一緒に使われる。
ch10.parts.0.points.11.forms.0	[V-る] + べくもない
ch10.parts.0.points.11.marks.0	formal
ch10.parts.0.points.11.no	122
ch10.parts.0.points.11.pattern	〜べくもない
ch10.parts.0.points.11.phrase	疑う**べくもない**
ch10.parts.0.points.11.stars	1
ch10.parts.0.points.11.usage.ja	「〜べくもない」は「状況から考えて〜できない／〜はずがない」という気持ちを表す。
ch10.parts.0.points.12.examples.0.ja	努力なくして成功なしというが、運というものもあるのではないだろうか。
ch10.parts.0.points.12.examples.1.ja	この酒は{良質|りょうしつ}の米と{名水|めいすい}なくしては生まれなかった。
ch10.parts.0.points.12.examples.2.ja	{他者|たしゃ}を思いやることなくして、暮らしやすい社会は作れないはずだ。
ch10.parts.0.points.12.examples.3.ja	「{耐|た}えることなくして{勝利|しょうり}はない」という彼の言葉が好きだ。
ch10.parts.0.points.12.forms.0	［[N]　[V-る] + こと］ + なくして（は） + …ない
ch10.parts.0.points.12.marks.0	formal
ch10.parts.0.points.12.no	123
ch10.parts.0.points.12.pattern	〜なくして（は）…ない
ch10.parts.0.points.12.phrase	{固定|こてい}観念からの解放**なくして**
ch10.parts.0.points.12.plus.0.examples.0.ja	今の{選挙|せんきょ}制度では、{選挙|せんきょ}運動をすることなく国会議員に{当選|とうせん}するなどあり得ないと言われている。
ch10.parts.0.points.12.plus.0.examples.1.ja	本人の{同意|どうい}を{得|え}ることなく、個人情報を第三者に伝えることはできない。
ch10.parts.0.points.12.plus.0.examples.2.ja	責任を取ることなしに自由を求めることはできない。
ch10.parts.0.points.12.plus.0.examples.3.ja	予算変更は議会の{承認|しょうにん}を{得|え}ることなしには行えない。
ch10.parts.0.points.12.plus.0.pattern	〜ことなく／〜ことなしに
ch10.parts.0.points.12.plus.0.stars	1
ch10.parts.0.points.12.plus.0.usage.ja	「[V-る] ＋ ことなく／ことなしに」も同じ意味で使われる。
ch10.parts.0.points.12.practice.0.answer.0	2
ch10.parts.0.points.12.practice.0.answer.1	0
ch10.parts.0.points.12.practice.0.answer.2	3
ch10.parts.0.points.12.practice.0.answer.3	1
ch10.parts.0.points.12.practice.0.left.0	{著作権者|ちょさくけんしゃ}の許可なくして
ch10.parts.0.points.12.practice.0.left.1	家族の{同意|どうい}なくして
ch10.parts.0.points.12.practice.0.left.2	リスクを{負|お}うことなくして
ch10.parts.0.points.12.practice.0.left.3	社長の{承認|しょうにん}なくして
ch10.parts.0.points.12.practice.0.prompt.ja	
ch10.parts.0.points.12.practice.0.right.0	手術は行えないことになっている。
ch10.parts.0.points.12.practice.0.right.1	プロジェクトを進めることはできない。
ch10.parts.0.points.12.practice.0.right.2	作品を勝手に変えることは法律で禁止されている。
ch10.parts.0.points.12.practice.0.right.3	大きい利益は望めない。
ch10.parts.0.points.12.practice.0.type	match
ch10.parts.0.points.12.stars	2
ch10.parts.0.points.12.usage.ja	「〜なくして（は）…ない」は「何かをするなら、〜が絶対に必要だ」と言いたいときに使われる。
ch10.parts.0.sample.lines	{前衛|ぜんえい}書道という書道の分野がある。昭和30年代以降急速に発展し、現在では、現代芸術の一分野としての地位を{確立|かくりつ}している。一般的に書道には、{筆順|ひつじゅん}を守るべし、二度{書|が}きをする**べからず**{等|とう}、{数多|かずおお}くの決まりがある。{前衛|ぜんえい}書道家はこうした決まりに{縛|しば}られずに、自由な表現を目指すものである。彼らは文字を書こうとさえ考えていない。**ただ**自分の心を表現すること**のみ**を目指す。文字として読めない**がゆえ**に、その筆の線が{余白|よはく}**と{相|あい}まって**作り出す{空間|くうかん}の美を{純粋|じゅんすい}に{鑑賞|かんしょう}できるのである。{前衛|ぜんえい}書道で、よく語られるのが{上田桑鳩|うえだそうきゅう}（1899-1968年）の「愛」（1951年、第7回日本美術{展覧会|てんらんかい}に{出展|しゅってん}）である。この作品が発表されたときの{衝撃|しょうげき}は想像**にかたくない**。書**としてあるまじき**ものと批判され**ずにはすまなかった**のも、よくわかる。{上田桑鳩|うえだそうきゅう}は「日本経済新聞」の{題字|だいじ}を書いた{高名|こうめい}な{書家|しょか}である。しかし、この作品を見ると、この文字が「{品|ひん}」**でなくてなんだろう**。失礼**{極|きわ}まりない**ことだが、これを「愛」と思う人などいるのだろうかという疑問**を禁じえない**。人はその文字の持つ意味により、{固定的|こていてき}なイメージを{抱|いだ}くものだ。{卑近|ひきん}な例で{恐縮|きょうしゅく}だが、たとえ{高名|こうめい}な{書家|しょか}が書いたものであっても、「{公衆便所|こうしゅうべんじょ}」と書かれた書が芸術と呼ぶ**にたる**作品かと聞かれれば、ほとんどの人が{否|いな}と答えるであろうことは疑う**べくもない**。だが、{固定|こてい}観念からの解放**なくして**芸術は生まれない。{前衛|ぜんえい}書道は、書道とは異なる新たな芸術の分野なのである。
ch10.review.0.ex.items.0.answer	3
ch10.review.0.ex.items.0.options.0	おかない
ch10.review.0.ex.items.0.options.1	いられない
ch10.review.0.ex.items.0.options.2	ない
ch10.review.0.ex.items.0.options.3	すまない
ch10.review.0.ex.items.0.q	{法廷|ほうてい}では個人的なことまで{追及|ついきゅう}されずには（　）だろう。
ch10.review.0.ex.items.1.answer	0
ch10.review.0.ex.items.1.options.0	さえ
ch10.review.0.ex.items.1.options.1	こそ
ch10.review.0.ex.items.1.options.2	のみ
ch10.review.0.ex.items.1.options.3	なり
ch10.review.0.ex.items.1.q	あいつ（　）いなければ、{俺|おれ}の人生はもっと違うものになったはずだ。
ch10.review.0.ex.items.2.answer	1
ch10.review.0.ex.items.2.options.0	とはいえ
ch10.review.0.ex.items.2.options.1	がゆえに
ch10.review.0.ex.items.2.options.2	どころか
ch10.review.0.ex.items.2.options.3	おかげで
ch10.review.0.ex.items.2.q	デザインの分野では{独創性|どくそうせい}を重んじる（　）、伝統を{古臭|ふるくさ}いと否定する傾向がある。
ch10.review.0.ex.items.3.answer	2
ch10.review.0.ex.items.3.options.0	ならではの
ch10.review.0.ex.items.3.options.1	なりの
ch10.review.0.ex.items.3.options.2	にあるまじき
ch10.review.0.ex.items.3.options.3	にかたくない
ch10.review.0.ex.items.3.q	二日{酔|よ}いで{欠勤|けっきん}するなんて、教師（　）ことだね。
ch10.review.0.ex.items.4.answer	0
ch10.review.0.ex.items.4.options.0	完成しなかった
ch10.review.0.ex.items.4.options.1	感動を与えた
ch10.review.0.ex.items.4.options.2	高く評価される
ch10.review.0.ex.items.4.options.3	{拍手|はくしゅ}が鳴りやまない
ch10.review.0.ex.items.4.q	皆様の温かい{支援|しえん}なくしては、この映画は（　）ことでしょう。
ch10.review.0.ex.items.5.answer	2
ch10.review.0.ex.items.5.options.0	べからざる
ch10.review.0.ex.items.5.options.1	にすぎない
ch10.review.0.ex.items.5.options.2	までもない
ch10.review.0.ex.items.5.options.3	わけがない
ch10.review.0.ex.items.5.q	バランスのとれた食事が健康の基本であることは、改めて説明する（　）だろう。
ch10.review.0.ex.items.6.answer	1
ch10.review.0.ex.items.6.options.0	笑い疲れてしまった
ch10.review.0.ex.items.6.options.1	眠くて仕方がなかった
ch10.review.0.ex.items.6.options.2	夢中になって聞いていた
ch10.review.0.ex.items.6.options.3	感動{極|きわ}まった
ch10.review.0.ex.items.6.q	校長の{退屈|たいくつ}{極|きわ}まりないスピーチは30分も続き、（　）。
ch10.review.0.ex.items.7.answer	1
ch10.review.0.ex.items.7.options.0	とはいうものの
ch10.review.0.ex.items.7.options.1	が{相|あい}まって
ch10.review.0.ex.items.7.options.2	にしたところで
ch10.review.0.ex.items.7.options.3	にかたくなく
ch10.review.0.ex.items.7.q	{素材|そざい}の美しさに職人の技術（　）、すばらしい{工芸品|こうげいひん}が生まれた。
ch10.review.0.ex.prompt.ja	次の文の（　）に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
ch10.review.0.ex.type	choice
ch10.review.0.title.ja	問題1 〈文法形式の判断〉
ch10.review.1.ex.items.0.after	はずだ」と{称賛|しょうさん}した。
ch10.review.1.ex.items.0.before	評論家の{中村氏|なかむらし}は、「観客の{誰|だれ}もが{名優|めいゆう}の
ch10.review.1.ex.items.0.order.0	1
ch10.review.1.ex.items.0.order.1	2
ch10.review.1.ex.items.0.order.2	3
ch10.review.1.ex.items.0.order.3	0
ch10.review.1.ex.items.0.pieces.0	を禁じえない
ch10.review.1.ex.items.0.pieces.1	{素晴|すば}らしい
ch10.review.1.ex.items.0.pieces.2	演技に
ch10.review.1.ex.items.0.pieces.3	感動
ch10.review.1.ex.items.0.star	2
ch10.review.1.ex.items.1.after	にかたくない。
ch10.review.1.ex.items.1.before	ノーベル賞の受賞通知を
ch10.review.1.ex.items.1.order.0	2
ch10.review.1.ex.items.1.order.1	1
ch10.review.1.ex.items.1.order.2	0
ch10.review.1.ex.items.1.order.3	3
ch10.review.1.ex.items.1.pieces.0	{感激|かんげき}は
ch10.review.1.ex.items.1.pieces.1	彼の
ch10.review.1.ex.items.1.pieces.2	受けた
ch10.review.1.ex.items.1.pieces.3	想像
ch10.review.1.ex.items.1.star	2
ch10.review.1.ex.items.2.after	できなかった。
ch10.review.1.ex.items.2.before	限られた予算でできることはし{尽|つ}くしたが、すべての
ch10.review.1.ex.items.2.order.0	1
ch10.review.1.ex.items.2.order.1	3
ch10.review.1.ex.items.2.order.2	0
ch10.review.1.ex.items.2.order.3	2
ch10.review.1.ex.items.2.pieces.0	にたる
ch10.review.1.ex.items.2.pieces.1	{顧客|こきゃく}を
ch10.review.1.ex.items.2.pieces.2	サービスは
ch10.review.1.ex.items.2.pieces.3	満足させる
ch10.review.1.ex.items.2.star	2
ch10.review.1.ex.prompt.ja	次の文の＿★＿に入る最もよいものを、1・2・3・4から一つ選びなさい。
ch10.review.1.ex.type	order
ch10.review.1.title.ja	問題2 〈文の組み立て〉
ch10.review.2.ex.items.0.answer	0
ch10.review.2.ex.items.0.options.0	{配慮|はいりょ}に{欠|か}ける人
ch10.review.2.ex.items.0.options.1	{矛盾|むじゅん}を{抱|かか}えた人
ch10.review.2.ex.items.0.options.2	信頼にたる人
ch10.review.2.ex.items.0.options.3	{円満|えんまん}{極|きわ}まる人
ch10.review.2.ex.items.0.q	__{真実|しんじつ}を{包|つつ}み{隠|かく}さず伝える人物__に対して、筆者はどのように考えているか。
ch10.review.2.ex.items.1.answer	2
ch10.review.2.ex.items.1.options.0	{円満|えんまん}な人間関係のためには、{嘘|うそ}をつくべきではない。
ch10.review.2.ex.items.1.options.1	自分の利害や{思惑|おもわく}を{優先|ゆうせん}する人こそ信頼すべきである。
